,Company,Prices,Day High Prices
0,Netweb Technologies,3082.50,3180.10
1,Vimta Labs,874.10,902.85
2,GMDC,508.65,515.00
3,Apollo Micro Systems,305.05,320.75
4,Eternal,329.20,334.40
5,L&T Finance,230.50,232.85
6,Mahindra & Mahindra,3561.55,3578.00
7,RBL Bank,275.85,278.80
8,Bluestone Jewellery,605.55,628.60
9,Colab Platforms,89.45,89.45
10,FSN E-Commerce,243.00,245.50
11,Pondy Oxides & Chem.,1257.55,1269.85
12,Syrma SGS Technology,831.05,871.55
13,Cropster Agro,30.15,32.10
14,Lemon Tree Hotels,175.20,177.95
15,Muthoot Finance,2830.20,2875.35
16,Stallion India Fluor,189.10,198.55
17,Concord Control Sys.,2441.50,2466.95
18,Acutaas Chemicals,1480.00,1495.70
19,Zydus Wellness,2422.30,2515.00
20,HLE Glascoat,550.00,579.80
21,Yatharth Hospital,780.00,798.95
22,TD Power Systems,549.15,567.00
23,Centrum Electronics,2970.00,3045.95
24,Cummins India,3918.50,3974.90
25,Cryogenic OGS,154.10,154.10
26,HBL Engineering,860.00,873.00
27,IZMO,750.90,750.90
28,Carysil,960.25,974.00
29,Sellwin Traders,12.07,12.07
30,Shukra Pharma,27.80,28.92
31,Kothari Indl. Corp,603.15,603.15
32,Indiqube Spaces,229.65,239.50
33,Gandhi Spl. Tubes,1005.00,1005.00
34,Sagar Cements,295.65,300.00
35,India Nipon Electric,882.85,889.00
36,CIAN Agro Industries,939.95,939.95
37,Tourism Finance Corp,343.65,348.00
38,Sunrise Efficient,225.00,225.00
39,Hemant Surgical Inds,308.00,308.00
40,Commercial Synbags,153.65,155.00
41,BGR Energy Systems,209.65,209.65
42,Anand Rayons,367.50,367.50
43,Rishabh Instruments,475.00,489.00
44,Bizotic Commercial,382.30,382.30
45,NESCO,1419.25,1474.95
46,Yash Chemex,89.46,89.50
47,Brahmaputra Infra,99.74,104.45
48,Fischer Medical,1120.00,1120.00
49,MRC Agrotech,37.15,37.99
50,Kavveri Def. Wireles,82.74,82.74
51,ARCL Organics,350.00,364.25
52,ACS Technologies,29.29,29.29
53,RRP Defense,429.20,429.20
54,CCL Products (India),917.65,968.95
55,Khaitan Chem & Fert.,124.75,129.40
56,Indokem,479.75,479.75
57,Virat Industries,863.00,883.20
58,BN Holdings,365.00,368.00
59,Dhanashree Electro.,296.55,296.55
60,AB Infrabuild,223.90,229.00
61,Sudal Industries,108.30,108.32
62,Sobhagya Mercantile,920.60,920.60
63,United Van Der Horst,187.85,189.40
64,Balaji Telefilms,111.99,112.00
65,Aplab,64.00,64.02
66,Mahamaya Steel Inds,394.45,401.00
67,RM Drip and Sprinkle,755.00,757.60
68,ACE Men Engg Works,95.80,95.90
69,India Home Loan,39.70,40.50
70,Anka India,68.37,68.37
71,Chambal Breweries,20.93,20.93
72,Vaxfab Enterprise,31.14,31.14
73,Esha Media Research,34.80,34.80
74,Avishkar Infra Real,293.70,293.70
75,Sodhani Acad of Fin,295.00,310.00
76,Hira Automobiles,487.50,489.65
77,Alan Scott Enter.,230.00,238.65
78,Swan Defence & Heavy,523.70,523.70
79,Nidhi Granites,309.05,309.05
80,Stellant Securities,665.45,665.45
81,Deccan Polypacks,36.00,36.39
82,Nexome CapitalMarket,153.00,167.95
83,RRP Semiconductor,5130.45,5130.45
84,Navigant Corp.Adv,89.64,89.64
85,Kashyap Tele Medicin,10.02,10.02
86,Soni Medicare,93.85,93.85
87,Andhra Cements,104.58,104.58
88,Omni AxS Software,5.53,6.11
89,Neo Infracon,38.98,41.99
90,Sunraj DiamondExport,16.54,16.54
91,Parker Agrochem,21.84,21.84
92,SER Inds.,222.45,222.45
93,Kalpa Commercial,12.53,12.53
94,Milestone Furniture,12.86,12.86
95,High Street Filatex,216.00,217.10
96,Citizen Infoline,168.80,168.80
97,Ema India,176.85,176.85
98,Ramsons Projects,150.05,150.05
99,Omansh Enterprises,90.23,90.23
100,Dugar Housing Devlp,153.25,153.25
101,Befound Movement,6.31,6.31
102,Autoriders Intl,1196.25,1196.25
103,Mardia Samyoung Cap.,53.89,53.89
104,Oswal Overseas,58.36,58.36
105,Iconik Sports & Even,68.59,68.59
106,Filtron Engineers,18.81,18.81
107,Lords Mark India,578.60,578.60
108,Tulasee Bio-Ethanol,21.40,21.40
109,Vaishno Cement,5.53,5.53
110,Amit Securities,37.68,37.68
111,SMT Engineering,43.76,43.76
112,Parmeshwari SilkMill,50.32,50.32
113,Arunis Abode,57.22,57.22
114,GDL Leasing & Fin,14.18,14.18
115,Corporate Merchant,140.15,140.15
116,Genesis IBRC India,39.94,39.94
117,Covance Softsol,33.11,33.11
118,Callista Industries,24.53,24.53
